TEname	Class	Order	SuperFamily	Family	Length
con3_Doc3	RNA	LINE	Jockey	Doc3	4757
con3_G4	RNA	LINE	Jockey	G4	3874
con3_G6b	RNA	LINE	Jockey	G6	2961
con3_Porto1	RNA	LINE	Jockey	Doc5	4713
con3_Tc1-2	DNA	TIR	TcMar-Tc1	Tc1-2	1666
con3_gypsy	RNA	LTR	Gypsy	gypsy	7506
con3_gypsy6	RNA	LTR	Gypsy	gypsy6	8001
con3_gypsy8	RNA	LTR	Gypsy	gypsy8	7190
con3_invader2	RNA	LTR	Gypsy	Invader2	5184
con3_looper1	DNA	TIR	PiggyBac	looper1	3398
con41_UnFmcl001_RLX-incomp	RNA	LTR	Gypsy	Gypsy-2_Dsim	5069
con42_mdg1	RNA	LTR	Gypsy	mdg1	9609
con43_H	DNA	TIR	hAT-hobo	H	3009
con45_Tabor	RNA	LTR	Gypsy	Tabor	7535
con46_297	RNA	LTR	Gypsy	297	7225
con48_412	RNA	LTR	Gypsy	412	7779
con48_FB	DNA	TIR	TcMar-Tc1	FB4	3490
con48_roo	RNA	LTR	Pao	roo	9469
con4_Doc2	RNA	LINE	Jockey	Doc2	4866
con4_G-element	RNA	LINE	Jockey	G-element	4483
con4_GATE	RNA	LTR	Pao	GATE	9153
con4_GATEa	RNA	LTR	Pao	GATE	3827
con4_UnFUnCl002_DHX-incomp	DNA	Helitron	INE-1	INE-1	449
con4_UnFmcl032_RLX-incomp	RNA	LTR	Copia	Copia2	3389
con4_UnFmcl034_RLX-incomp	RNA	LTR	Gypsy	Gypsy-2_Dsim	5371
con4_invader6	RNA	LTR	Gypsy	Invader6	5393
con5_Cr1a	RNA	LINE	CR1	Cr1a	4489
con5_hopper2	DNA	TIR	CMC-Transib	hopper2	2770
con5_transib1	DNA	TIR	CMC-Transib	transib1	2753
con6_1731	RNA	LTR	Copia	1731	4671
con6_Stalker3	RNA	LTR	Gypsy	Stalker3	609
con6_UnFmcl028_RLX-incomp	RNA	LTR	Gypsy	Chimpo	4480
con7_Dbuz-INE-1	DNA	Helitron	INE-1	INE-1	1542
con7_Dm88	RNA	LTR	Copia	Copia2	4559
con7_G6a	RNA	LINE	Jockey	G6	2055
con7_Stalker4	RNA	LTR	Gypsy	Stalker4	7415
con7_UnFmcl002_RXX-LARD	RNA	LARD	LARD	LARD	25097
con7_gypsy12	RNA	LTR	Gypsy	gypsy12	10347
con8_G2	RNA	LINE	Jockey	G2	4362
con8_UnFmcl025_RLX-comp	RNA	LTR	Copia	Copia1	4941
con8_gypsy4	RNA	LTR	Gypsy	gypsy4	6944
con8_invader1	RNA	LTR	Gypsy	Invader1	4124
con8_micropia	RNA	LTR	Gypsy	Micropia	5536
con9_Bari1	DNA	TIR	TcMar-Tc1	Bari1	1765
con9_UnFUnCl001_DTX-incomp	DNA	TIR	TcMar-Tc1	Mariner_CA	526
